district|school|classification|division|game|enrollment|reportyear
Fort Worth ISD | FW Young Mens Leadership Acad | 6A | x | 11 Man |354|2018
Garland ISD | Garland Naaman Forest | 6A | x | 11 Man |2158|2018
McAllen ISD | McAllen Rowe | 6A | x | 11 Man |2162|2018
Garland ISD | South Garland | 6A | x | 11 Man |2171|2018
Donna ISD | Donna | 6A | x | 11 Man |2195|2018
Waco ISD | Waco | 6A | x | 11 Man |2195|2018
Leander ISD | Leander | 6A | x | 11 Man |2199|2018
Haltom City Birdville ISD | N Richland Hills Richland | 6A | x | 11 Man |2207|2018
Houston Strake Jesuit College Prep | Houston Strake Jesuit | 6A | x | 11 Man |2208|2018
Laredo ISD | Laredo Nixon | 6A | x | 11 Man |2209|2018
Mansfield ISD | Mansfield Summit | 6A | x | 11 Man |2216|2018
Dallas ISD | Dallas Molina | 6A | x | 11 Man |2220|2018
Fort Worth Northwest ISD | Northwest Eaton | 6A | x | 11 Man |2222|2018
Tyler ISD | Tyler Lee | 6A | x | 11 Man |2222|2018
Austin ISD | Austin Anderson | 6A | x | 11 Man |2223|2018
Dallas Jesuit College Prep |Dallas Jesuit | 6A | x | 11 Man |2234|2018
Waxahachie ISD | Waxahachie | 6A | x | 11 Man |2235|2018
Humble ISD | Humble Summer Creek | 6A | x | 11 Man |2237|2018
Weslaco ISD | Weslaco East | 6A | x | 11 Man |2239|2018
Dallas ISD | Dallas White | 6A | x | 11 Man |2241|2018
Longview ISD | Longview | 6A | x | 11 Man |2243|2018
PharrSan JuanAlamo ISD | PSJA | 6A | x | 11 Man |2245|2018
Tomball ISD | Tomball Memorial | 6A | x | 11 Man |2247|2018
La Porte ISD | La Porte | 6A | x | 11 Man |2248|2018
Fort Bend ISD | Fort Bend Kempner | 6A | x | 11 Man |2263|2018
Copperas Cove ISD | Copperas Cove | 6A | x | 11 Man |2269|2018
Temple ISD | Temple | 6A | x | 11 Man |2269|2018
Austin ISD | Austin | 6A | x | 11 Man |2271|2018
Houston Spring Branch ISD | Houston Stratford | 6A | x | 11 Man |2273|2018
Fort Bend ISD | Fort Bend Austin | 6A | x | 11 Man |2279|2018
Humble ISD | Humble | 6A | x | 11 Man |2279|2018
Amarillo ISD | Amarillo Tascosa | 6A | x | 11 Man |2281|2018
McAllen ISD | McAllen Memorial | 6A | x | 11 Man |2291|2018
Garland ISD | Garland Lakeview Cent | 6A | x | 11 Man |2296|2018
Eagle Pass ISD | Eagle Pass | 6A | x | 11 Man |2306|2018
Edinburg CISD | Edinburg Vela | 6A | x | 11 Man |2307|2018
Donna ISD | Donna North | 6A | x | 11 Man |2310|2018
Weatherford ISD | Weatherford | 6A | x | 11 Man |2311|2018
Keller ISD | Keller Fossil Ridge | 6A | x | 11 Man |2319|2018
McAllen ISD | McAllen | 6A | x | 11 Man |2319|2018
Mission CISD | Mission | 6A | x | 11 Man |2320|2018
Fort Bend ISD | Fort Bend Elkins | 6A | x | 11 Man |2323|2018
PharrSan JuanAlamo ISD | PSJA North | 6A | x | 11 Man |2323|2018
Houston Spring Branch ISD | Houston Spring Woods | 6A | x | 11 Man |2341|2018
Bryan ISD | Bryan | 6A | x | 11 Man |2344|2018
San Marcos CISD | San Marcos | 6A | x | 11 Man |2344|2018
Leander ISD | Cedar Park Vista Ridge | 6A | x | 11 Man |2349|2018
Cedar Hill ISD | Cedar Hill | 6A | x | 11 Man |2354|2018
Harlingen CISD | Harlingen South | 6A | x | 11 Man |2358|2018
Houston ISD | Houston Heights | 6A | x | 11 Man |2362|2018
San Antonio North East ISD | SA MacArthur | 6A | x | 11 Man |2386|2018
Mesquite ISD | Mesquite Horn | 6A | x | 11 Man |2387|2018
Abilene ISD | Abilene | 6A | x | 11 Man |2394|2018
Houston ISD | Houston Westbury | 6A | x | 11 Man |2400|2018
Richardson ISD | Richardson Pearce | 6A | x | 11 Man |2400|2018
League City Clear Creek ISD | Frndswd Clear Brook | 6A | x | 11 Man |2410|2018
Baytown Goose Creek CISD | Baytown Sterling | 6A | x | 11 Man |2415|2018
SchertzCiboloUniversal City ISD | Cibolo Steele | 6A | x | 11 Man |2418|2018
Brownsville ISD | Brownsville Rivera | 6A | x | 11 Man |2421|2018
Edinburg CISD | Edinburg | 6A | x | 11 Man |2427|2018
Fort Bend ISD | Fort Bend Bush | 6A | x | 11 Man |2436|2018
CypressFairbanks ISD | Cypress Park | 6A | x | 11 Man |2436|2018
Mansfield ISD | Mansfield Lake Ridge | 6A | x | 11 Man |2438|2018
El Paso Socorro ISD | El Paso Socorro | 6A | x | 11 Man |2442|2018
Waco Midway ISD | Waco Midway | 6A | x | 11 Man |2448|2018
Rockwall ISD | RockwallHeath | 6A | x | 11 Man |2449|2018
League City Clear Creek ISD | Houston Clear Lake | 6A | x | 11 Man |2462|2018
El Paso Socorro ISD | El Paso Pebble Hills | 6A | x | 11 Man |2468|2018
League City Clear Creek ISD | LC Clear Creek | 6A | x | 11 Man |2473|2018
Crowley ISD | North Crowley | 6A | x | 11 Man |2475|2018
Houston Aldine ISD | Houston Eisenhower | 6A | x | 11 Man |2480|2018
Sheldon ISD | Sheldon King | 6A | x | 11 Man |2488|2018
Mansfield ISD | Mansfield | 6A | x | 11 Man |2489|2018
Fort Bend ISD | Fort Bend Dulles | 6A | x | 11 Man |2492|2018
El Paso Socorro ISD | El Paso Americas | 6A | x | 11 Man |2502|2018
Garland ISD | Garland | 6A | x | 11 Man |2507|2018
Wylie ISD | Wylie | 6A | x | 11 Man |2507|2018
Denton ISD | Denton Guyer | 6A | x | 11 Man |2515|2018
Beaumont ISD | Beaumont West Brook | 6A | x | 11 Man |2520|2018
New Braunfels ISD | New Braunfels | 6A | x | 11 Man |2549|2018
Keller ISD | Keller Central | 6A | x | 11 Man |2550|2018
CypressFairbanks ISD | Bridgeland | 6A | x | 11 Man |2552|2018
Fort Bend ISD | Fort Bend Clements | 6A | x | 11 Man |2552|2018
Fort Worth ISD | FW Paschal | 6A | x | 11 Man |2559|2018
La Joya ISD | La Joya JuarezLincoln | 6A | x | 11 Man |2572|2018
Freeport Brazosport ISD | Clute Brazoswood | 6A | x | 11 Man |2576|2018
Killeen ISD | Killeen Shoemaker | 6A | x | 11 Man |2576|2018
Garland ISD | Rowlett | 6A | x | 11 Man |2577|2018
Fort Worth Northwest ISD | Northwest Nelson | 6A | x | 11 Man |2579|2018
Leander ISD | Austin Vandegrift | 6A | x | 11 Man |2582|2018
South San Antonio ISD | South San Antonio | 6A | x | 11 Man |2606|2018
Rockwall ISD | Rockwall | 6A | x | 11 Man |2615|2018
Pflugerville ISD | Pflugerville Hendrickson | 6A | x | 11 Man |2618|2018
Kyle Hays CISD | Kyle Lehman | 6A | x | 11 Man |2619|2018
Fort Bend ISD | Fort Bend Travis | 6A | x | 11 Man |2622|2018
Comal ISD | Comal Canyon | 6A | x | 11 Man |2645|2018
Killeen ISD | Killeen | 6A | x | 11 Man |2646|2018
El Paso Socorro ISD | El Paso Montwood | 6A | x | 11 Man |2649|2018
Northside ISD | Northside Taft | 6A | x | 11 Man |2654|2018
Rosenberg Lamar CISD | Richmond George Ranch | 6A | x | 11 Man |2654|2018
Humble ISD | Humble Kingwood | 6A | x | 11 Man |2659|2018
Richardson ISD | Richardson Berkner | 6A | x | 11 Man |2659|2018
Weslaco ISD | Weslaco | 6A | x | 11 Man |2670|2018
Edinburg CISD | Edinburg Economedes | 6A | x | 11 Man |2679|2018
Northside ISD | Northside Brennan | 6A | x | 11 Man |2683|2018
Channelview ISD | Channelview | 6A | x | 11 Man |2693|2018
Garland ISD | North Garland | 6A | x | 11 Man |2693|2018
Northside ISD | Northside Marshall | 6A | x | 11 Man |2696|2018
Eanes ISD | Austin Westlake | 6A | x | 11 Man |2706|2018
SchertzCiboloUniversal City ISD | Schertz Clemens | 6A | x | 11 Man |2708|2018
Fort Bend ISD | Fort Bend Ridge Point | 6A | x | 11 Man |2721|2018
Round Rock ISD | Round Rock Stony Pt. | 6A | x | 11 Man |2723|2018
Houston Aldine ISD | Houston Nimitz | 6A | x | 11 Man |2725|2018
Southlake Carroll ISD | Southlake Carroll | 6A | x | 11 Man |2725|2018
Arlington ISD | Arlington Bowie | 6A | x | 11 Man |2728|2018
Houston Spring Branch ISD | Houston Memorial | 6A | x | 11 Man |2738|2018
Round Rock ISD | Round Rock McNeil | 6A | x | 11 Man |2738|2018
Northside ISD | Northside Brandeis | 6A | x | 11 Man |2744|2018
Brownsville ISD | Brownsville Hanna | 6A | x | 11 Man |2745|2018
Katy ISD | Katy Mayde Creek | 6A | x | 11 Man |2759|2018
Austin ISD | Austin Akins | 6A | x | 11 Man |2768|2018
Comal ISD | Comal Smithson Valley | 6A | x | 11 Man |2769|2018
Haltom City Birdville ISD | Haltom City Haltom | 6A | x | 11 Man |2772|2018
Richardson ISD | Richardson | 6A | x | 11 Man |2775|2018
Arlington ISD | Arlington | 6A | x | 11 Man |2777|2018
Garland ISD | Sachse | 6A | x | 11 Man |2780|2018
Killeen ISD | Killeen Harker Heights | 6A | x | 11 Man |2787|2018
Edinburg CISD | Edinburg North | 6A | x | 11 Man |2788|2018
Round Rock ISD | Round Rock Westwood | 6A | x | 11 Man |2788|2018
Pasadena ISD | Pasadena | 6A | x | 11 Man |2790|2018
League City Clear Creek ISD | LC Clear Falls | 6A | x | 11 Man |2793|2018
Wolfforth Frenship ISD | Wolfforth Frenship | 6A | x | 11 Man |2795|2018
Houston ISD | Houston Math Science & Tech | 6A | x | 11 Man |2803|2018
Klein ISD | Klein Cain | 6A | x | 11 Man |2806|2018
Mesquite ISD | North Mesquite | 6A | x | 11 Man |2808|2018
El Paso ISD | El Paso Franklin | 6A | x | 11 Man |2809|2018
Laredo United ISD | Laredo Alexander | 6A | x | 11 Man |2809|2018
Richardson ISD | Richardson Lake Highlands | 6A | x | 11 Man |2811|2018
Pearland ISD | Pearland Dawson | 6A | x | 11 Man |2815|2018
El Paso ISD | El Paso Coronado | 6A | x | 11 Man |2816|2018
Northside ISD | Northside Clark | 6A | x | 11 Man |2824|2018
McKinney ISD | McKinney Boyd | 6A | x | 11 Man |2834|2018
Spring ISD | Spring DeKaney | 6A | x | 11 Man |2834|2018
Alvin ISD | Alvin | 6A | x | 11 Man |2835|2018
Grand Prairie ISD | Grand Prairie | 6A | x | 11 Man |2835|2018
Arlington ISD | Arlington Lamar | 6A | x | 11 Man |2852|2018
Round Rock ISD | Round Rock Cedar Ridge | 6A | x | 11 Man |2855|2018
San Antonio North East ISD | SA Roosevelt | 6A | x | 11 Man |2858|2018
League City Clear Creek ISD | LC Clear Springs | 6A | x | 11 Man |2871|2018
Austin ISD | Austin Bowie | 6A | x | 11 Man |2873|2018
La Joya ISD | La Joya | 6A | x | 11 Man |2874|2018
Houston Spring Branch ISD | Houston Northbrook | 6A | x | 11 Man |2877|2018
Houston ISD | Houston Westside | 6A | x | 11 Man |2886|2018
Mesquite ISD | Mesquite | 6A | x | 11 Man |2895|2018
Northside ISD | Northside Holmes | 6A | x | 11 Man |2899|2018
Dickinson ISD | Dickinson | 6A | x | 11 Man |2924|2018
San Antonio North East ISD | SA Churchill | 6A | x | 11 Man |2930|2018
McKinney ISD | McKinney | 6A | x | 11 Man |2969|2018
Northside ISD | Northside Stevens | 6A | x | 11 Man |2969|2018
Prosper ISD | Prosper | 6A | x | 11 Man |2975|2018
Killeen ISD | Killeen Ellison | 6A | x | 11 Man |2979|2018
Kyle Hays CISD | Buda Hays | 6A | x | 11 Man |2989|2018
Katy ISD | Katy Taylor | 6A | x | 11 Man |2994|2018
Laredo United ISD | Laredo Johnson | 6A | x | 11 Man |2994|2018
Keller ISD | Keller | 6A | x | 11 Man |2995|2018
Harlingen CISD | Harlingen | 6A | x | 11 Man |3012|2018
Pasadena ISD | Pasadena South Houston | 6A | x | 11 Man |3015|2018
CypressFairbanks ISD | Cypress Springs | 6A | x | 11 Man |3024|2018
San Angelo ISD | San Angelo Central | 6A | x | 11 Man |3044|2018
Houston ISD | Houston Chavez | 6A | x | 11 Man |3053|2018
Northside ISD | Northside Jay | 6A | x | 11 Man |3058|2018
San Antonio Judson ISD | Converse Judson | 6A | x | 11 Man |3068|2018
San Antonio North East ISD | SA Johnson | 6A | x | 11 Man |3083|2018
Austin Lake Travis ISD | Austin Lake Travis | 6A | x | 11 Man |3085|2018
San Benito CISD | San Benito | 6A | x | 11 Man |3088|2018
Pasadena ISD | Pasadena Rayburn | 6A | x | 11 Man |3113|2018
San FelipeDel Rio CISD | Del Rio | 6A | x | 11 Man |3114|2018
CypressFairbanks ISD | Cypress Ranch | 6A | x | 11 Man |3116|2018
CypressFairbanks ISD | Cypress Ridge | 6A | x | 11 Man |3119|2018
Conroe ISD | Conroe Woodlands College Park | 6A | x | 11 Man |3121|2018
Northside ISD | Northside Warren | 6A | x | 11 Man |3124|2018
CypressFairbanks ISD | Langham Creek | 6A | x | 11 Man |3128|2018
HurstEulessBedford ISD | Hurst Bell | 6A | x | 11 Man |3131|2018
Katy ISD | Katy Morton Ranch | 6A | x | 11 Man |3135|2018
San Antonio East Central ISD | San Antonio East Central | 6A | x | 11 Man |3161|2018
Katy ISD | Katy Cinco Ranch | 6A | x | 11 Man |3161|2018
San Antonio North East ISD | SA Lee | 6A | x | 11 Man |3208|2018
Midland ISD | Midland Lee | 6A | x | 11 Man |3211|2018
Irving ISD | Irving Nimitz | 6A | x | 11 Man |3223|2018
Conroe ISD | Conroe Oak Ridge | 6A | x | 11 Man |3225|2018
Keller ISD | Keller Timber Creek | 6A | x | 11 Man |3241|2018
Irving ISD | Irving | 6A | x | 11 Man |3246|2018
Alief ISD | Alief Taylor | 6A | x | 11 Man |3260|2018
Lewisville ISD | Lewisville Marcus | 6A | x | 11 Man |3274|2018
Laredo United ISD | Laredo United South | 6A | x | 11 Man |3283|2018
San Antonio North East ISD | SA Madison | 6A | x | 11 Man |3286|2018
Houston Aldine ISD | Houston Aldine | 6A | x | 11 Man |3326|2018
Del Valle ISD | Del Valle | 6A | x | 11 Man |3334|2018
Spring ISD | Spring Westfield | 6A | x | 11 Man |3354|2018
CypressFairbanks ISD | Cypress Creek | 6A | x | 11 Man |3362|2018
Belton ISD | Belton | 6A | x | 11 Man |3366|2018
Northside ISD | Northside OConnor | 6A | x | 11 Man |3367|2018
Katy ISD | Katy Tompkins | 6A | x | 11 Man |3380|2018
Los Fresnos CISD | Los Fresnos | 6A | x | 11 Man |3386|2018
Houston ISD | Houston Lamar | 6A | x | 11 Man |3390|2018
DeSoto ISD | De Soto | 6A | x | 11 Man |3398|2018
Grand Prairie ISD | South Grand Prairie | 6A | x | 11 Man |3407|2018
Midland ISD | Midland | 6A | x | 11 Man |3417|2018
Round Rock ISD | Round Rock | 6A | x | 11 Man |3426|2018
Irving ISD | Irving MacArthur | 6A | x | 11 Man |3451|2018
Arlington ISD | Arlington Martin | 6A | x | 11 Man |3456|2018
HurstEulessBedford ISD | Euless Trinity | 6A | x | 11 Man |3470|2018
Katy ISD | Katy | 6A | x | 11 Man |3487|2018
Pasadena ISD | Pasadena Memorial | 6A | x | 11 Man |3491|2018
CypressFairbanks ISD | Cypress Falls | 6A | x | 11 Man |3499|2018
Spring ISD | Spring | 6A | x | 11 Man |3511|2018
San Antonio North East ISD | SA Reagan | 6A | x | 11 Man |3518|2018
CypressFairbanks ISD | Cypress Lakes | 6A | x | 11 Man |3523|2018
CypressFairbanks ISD | Jersey Village | 6A | x | 11 Man |3527|2018
Houston ISD | Houston Bellaire | 6A | x | 11 Man |3529|2018
CypressFairbanks ISD | Cypress Fairbanks | 6A | x | 11 Man |3529|2018
Katy ISD | Katy Seven Lakes | 6A | x | 11 Man |3538|2018
CypressFairbanks ISD | Cypress Woods | 6A | x | 11 Man |3547|2018
Lewisville ISD | Lewisville Hebron | 6A | x | 11 Man |3584|2018
Lewisville ISD | Lewisville Flower Mound | 6A | x | 11 Man |3618|2018
Humble ISD | Humble Atascocita | 6A | x | 11 Man |3641|2018
Klein ISD | Klein Collins | 6A | x | 11 Man |3643|2018
Houston Aldine ISD | Houston Benjamin Davis Sr | 6A | x | 11 Man |3644|2018
Arlington ISD | Arlington Houston | 6A | x | 11 Man |3651|2018
Klein ISD | Klein | 6A | x | 11 Man |3701|2018
Klein ISD | Klein Forest | 6A | x | 11 Man |3750|2018
Coppell ISD | Coppell | 6A | x | 11 Man |3834|2018
Odessa Ector County ISD | Odessa Permian | 6A | x | 11 Man |3920|2018
Klein ISD | Klein Oak | 6A | x | 11 Man |3955|2018
Odessa Ector County ISD | Odessa | 6A | x | 11 Man |3992|2018
Alief ISD | Alief Hastings | 6A | x | 11 Man |3993|2018
Conroe ISD | Conroe | 6A | x | 11 Man |3998|2018
Houston Aldine ISD | Houston MacArthur | 6A | x | 11 Man |4010|2018
Pearland ISD | Pearland | 6A | x | 11 Man |4027|2018
Deer Park ISD | Deer Park | 6A | x | 11 Man |4083|2018
Pasadena ISD | Pasadena Dobie | 6A | x | 11 Man |4277|2018
Alief ISD | Alief Elsik | 6A | x | 11 Man |4283|2018
Laredo United ISD | Laredo United | 6A | x | 11 Man |4422|2018
Conroe ISD | Conroe The Woodlands | 6A | x | 11 Man |4435|2018
Duncanville ISD | Duncanville | 6A | x | 11 Man |4451|2018
Lewisville ISD | Lewisville | 6A | x | 11 Man |4564|2018
Dallas ISD | Dallas Skyline | 6A | x | 11 Man |4568|2018
Galena Park ISD | Galena Park North Shore | 6A | x | 11 Man |4754|2018
Plano ISD | Plano | 6A | x | 11 Man |5198|2018
Plano ISD | Plano East | 6A | x | 11 Man |5343|2018
Plano ISD | Plano West | 6A | x | 11 Man |5654|2018
Allen ISD | Allen | 6A | x | 11 Man |6664|2018
Beaumont ISD | Beaumont Ozen | 5A |2| 11 Man |1152|2018
Lindale ISD | Lindale | 5A |2| 11 Man |1154|2018
El Paso Ysleta ISD | El Paso Riverside | 5A |2| 11 Man |1158|2018
Abilene Wylie ISD | Abilene Wylie | 5A |2| 11 Man |1164|2018
Port Lavaca Calhoun Co ISD | Port Lavaca Calhoun | 5A |2| 11 Man |1167|2018
Fort Worth ISD | FW Eastern Hills | 5A |2| 11 Man |1172|2018
Princeton ISD | Princeton | 5A |2| 11 Man |1174|2018
San Antonio Edgewood ISD | SA Kennedy | 5A |2| 11 Man |1187|2018
Terrell ISD | Terrell High School | 5A |2| 11 Man |1197|2018
Corpus Christi ISD | CC Miller | 5A |1| 11 Man |1201|2018
Corpus Christi TulosoMidway ISD | CC TulosoMidway | 5A |2| 11 Man |1201|2018
Kaufman ISD | Kaufman | 5A |2| 11 Man |1207|2018
Dallas ISD | Dallas South Oak Cliff | 5A |2| 11 Man |1212|2018
Sulphur Springs ISD | Sulphur Springs | 5A |2| 11 Man |1218|2018
Marble Falls ISD | Marble Falls | 5A |2| 11 Man |1240|2018
Uvalde CISD | Uvalde | 5A |2| 11 Man |1251|2018
Wichita Falls ISD | Wichita Falls | 5A |2| 11 Man |1257|2018
Lake Dallas ISD | Lake Dallas | 5A |2| 11 Man |1260|2018
Austin ISD | Austin Reagan | 5A |1| 11 Man |1263|2018
Fort Bend ISD | Fort Bend Marshall | 5A |2| 11 Man |1264|2018
Floresville ISD | Floresville | 5A |2| 11 Man |1268|2018
Fort Worth ISD | FW Polytechnic | 5A |2| 11 Man |1274|2018
Mercedes ISD | Mercedes | 5A |2| 11 Man |1276|2018
Corpus Christi Calallen ISD | CC Calallen | 5A |2| 11 Man |1277|2018
Elgin ISD | Elgin | 5A |2| 11 Man |1297|2018
Fort Worth ISD | FW CarterRiverside | 5A |2| 11 Man |1297|2018
Montgomery ISD | Montgomery Lake Creek | 5A |2| 11 Man |1305|2018
